abstract,keywords
"Automatic analysis of job interviews has gained in interest amongst academic and industrial research. The particular case of asynchronous video interviews allows to collect vast corpora of videos where candidates answer standardized questions in monologue videos, enabling the use of deep learning algorithms. On the other hand, state-of-the-art approaches still face some obstacles, among which the fusion of information from multiple modalities and the interpretability of the predictions. We study the task of predicting candidates performance in asynchronous video interviews using three modalities (verbal content, prosody and facial expressions) independently or simultaneously, using data from real interviews which take place in real conditions. We propose a sequential and multimodal deep neural network model, called Multimodal HireNet. We compare this model to state-of-the-art approaches and show a clear improvement of the performance. Moreover, the architecture we propose is based on attention mechanism, which provides interpretability about which questions, moments and modalities contribute the most to the output of the network. While other deep learning systems use attention mechanisms to offer a visualization of moments with attention values, the proposed methodology enables an in-depth interpretation of the predictions by an overall analysis of the features of social signals contained in these moments","[1, 524, 106]"
"Dwelling information is essential for humanitarian emergency response during or in the aftermath of disasters, especially in temporary settlement areas hosting forcibly displaced people. To map dwellings, the integration of very high-resolution remotely sensed imagery in computer vision models plays a key role. However, state-of-the-art deep learning models have two known downsides: (1) lack of generalization across space and time under changing scenes and object characteristics, and (2) extensive demand for annotated samples for training and validation. Both could pose a critical challenge during an emergency. To bypass this problem, this study deals with unsupervised domain adaptation for instance segmentation using a single-stage instance segmentation model, namely segmenting objects by location (SOLO). The goal is to adapt a SOLO model trained on a labelled source domain to detect dwellings in an unlabelled target domain. In this context, we study three domain adaptation techniques based on adversarial learning, domain discrepancy, and domain alignment mapping. We also propose domain similarity at different levels to understand its implication on domain adaptation. Experiments are conducted on very high-resolution satellite images obtained from four temporary settlement areas located in different countries and exhibiting various spatial characteristics. Analysis results show that in most source-target combinations unsupervised domain adaptation improves the performance by a large margin even surpassing a model trained with supervised learning. There is also an observed performance deviation among implemented strategies and different source-target dataset combinations. From the in-depth analysis of domain similarity at the image, object, and deep feature space levels, the former is more correlated with unsupervised domain adaptation performance.","[1659, 1, 3413]"
"This manuscript provides several ad hoc routing protocol extensions and evaluations thereof, that allow increasing performance, scaling the network size, and integrating ad hoc networks into the Internet: First, this manuscript presents software tools, which allow to study unmodified routing protocols, implemented in Java, in the network simulator NS2. Second, the manuscript provides an architectural discussion of ad hoc networks, which explains the problems of automatic configuration of IP addresses (called ""autoconfiguration"") on ad hoc routers, and presents an architectural model for ad hoc networks, compatible with the Internet. An autoconfiguration protocol, based on the proposed architectural model, is specified, and its properties are formally verified by means of model checking. Third, several extensions to the ad hoc routing protocol OLSRv2 are presented: The in-router performance of the protocol is increased by orders of magnitude when using a dynamic shortest path algorithm for calculating routes. Another proposed optimization is an SNMP-based framework to manage and control performance related objects on routers running OLSRv2. An extension of OLSRv2 is presented, where packets are retransmitted later for temporarily unavailable destinations, instead of dropping them, leading to delivery ratios significantly higher than standard OLSRv2 in certain scenarios. This manuscript presents an analysis of security threats to OLSRv2, followed by a specification of a router and link admittance control mechanism for OLSRv2, alleviating many of these attacks. Fourth, this manuscript investigates scalability of wireless sensor networks (WSNs), and evaluates a routing protocol for such WSNs being specified by the IETF as of 2011, denoted RPL. Moreover, as RPL does not contain any mechanism for efficient broadcasts, several optimized broadcasting mechanisms in RPL are presented and compared.","[72, 4580, 97]"
"Existing methods for wireless-sensor network (WSN) topology optimization employ simplifying assumptions of a fixed communication radius between network nodes, which is ill-suited for IoT networks deployed in complex terrain. This article proposes a data-driven approach to WSN topology optimization, employing a Bayesian link classifier trained on LIDAR-derived terrain characteristics and an in-situ survey of link quality. The classifier is trained to predict where good network links (packet-delivery ratio, PDR>0.5) are likely to form in a region given complex terrain attributes. Then, given numerous candidate wireless node placements throughout the domain, the classifier is used to construct an undirected weighted graph of the potential connectivity across the domain. Edge weights in the connectivity graph are proportional to the probability of forming a good link between the nodes. A novel modified cycle-union (MCyU) algorithm for generating a 2-vertex-connected, Steiner minimal network is then applied to the undirected weighted graph of potential network element placements. This ensures a survivable network design, while maximizing the probability of good links within the final network. The total number and spatial distribution of network elements produced by the algorithm is compared to an existing WSN, deployed for environmental monitoring in remote regions. In addition, the MCyU algorithm has been evaluated in three graph test cases to compare with state-of-the-art solutions, where MCyU outperforms in terms of weight minimization and computation time.","[0, 2869, 3506, 1888]"
"Today, the production of knowledge and data is increasing in many fields in order to analyze, comprehend, and explain phenomena that are sometimes complex. Communicating this knowledge to non-expert audiences can sometimes be complicated, and conventional modes of transmission based on text, graphics or audio-visual reports can reach their limits. Immersive technologies such as virtual reality offer new opportunities in visualization by immersing users in interactive environments. Virtual reality can benefit from this interactive immersion to involve users in the process of understanding phenomena more easily than conventional modes of knowledge transmission could. However, introducing relevant educational virtual reality experiences to a novice audience involves several challenges. My thesis therefore focuses on addressing these challenges. Firstly, we investigate how novice users learn how to use virtual reality applications. We evaluated immersive tutorials and interviewed a group of experts in order to identify the main challenges to VR onboarding with and without instructors. Based on our results we built a conceptual framework and provide guidelines. Secondly, we explore a new type of empathetic data visualization in which the user is immersed in the heart of the data. We built upon anthropographics and semantic zoom to design a visualization that allows a smooth transition between an abstract visualization and a concrete and individual visualization. Finally, we study the immersive authoring of interactive experiences to favor the democratization of the creation of interactive content by non-expert users. Based on our prototype implementation, we analyzed two use cases and conducted a user study in order to identify the main challenges to this authoring method. Overall, this thesis aims to contribute to the emergence of new types of visualization through the study and design of immersive interactive visualization experiences for non-experts.","[1018, 204, 2, 30]"
"Uncertainty plays an important and complex role in data analysis and affects many domains. To understand how domain experts analyse data under uncertainty and the tasks they engage in, we conducted a qualitative user study with 12 participants from a variety of domains. We collected data from audio and video recordings of think-aloud demo sessions and semi-structured interviews. We found that analysts sometimes ignore known uncertainties in their data, but only when these are not relevant to their tasks. More often however, they deploy various coping strategies, aiming to understand , minimise or exploit the uncertainty. Within these coping strategies, we identified five high level tasks that appear to be common amongst all of our participants. We believe our findings and further analysis of this data will yield concrete design guidelines for uncertainty-aware visual analytics.","[145, 2857, 394]"
"We show how one can search for the worst cases for correct rounding of the exponential function in the IEEE 754r 64-bit decimal format, and give such bad cases that have been found so far. This work can be extended to other elementary functions in the decimal64 format, and allows the design of reasonably fast routines that will evaluate these functions with correct rounding, at least in some domains.","[258, 55, 1997]"
Event-B is a formal method used to do Model Driven Engineering certified by theorem proving. We propose a pattern to handle duration over a predicate in this method which originally does not have particular tool to specify and reason about real-time properties.,"[12, 2710, 13]"
"The current datacenter-centralized architecture limits the cloud to the location of the datacenters, generally far from the user. This architecture collides with the latest trend of ubiquity of Cloud computing. Also, current estimated energy usage of data centers and core networks adds up to 3% of the global energy production, while according to latest estimations only 42,3% of the population is connected. In the current work, we focused on two drawbacks of datacenter-centralized Clouds: Energy consumption and poor quality of service. On the one hand, due to its centralized nature, energy consumption in networks is affected by the centralized vision of the Cloud. That is, backbone networks increase their energy consumption in order to connect the clients to the datacenters. On the other hand, distance leads to increased utilization of the broadband Wide Area Network and poor user experience, especially for interactive applications. A distributed approach can provide a better Quality of Experience (QoE) in large urban populations in mobile cloud networks. To do so, the cloud should confine local traffic close to the user, running on the users and network devices. In this work, we propose a novel distributed cloud architecture based on microclouds. Microclouds are dynamically created and allow users to contribute resources from their computers, mobile and network devices to the cloud. This way, they provide a dynamic and scalable system without the need of an extra investment in infrastructure. We also provide a description of a realistic mobile cloud use case, and the adaptation of microclouds on it. Through simulations, we show an overall saving up to 75% of energy consumed in standard centralized clouds with our approach. Also, our results indicate that this architecture is scalable with the number of mobile devices and provide a significantly lower latency than regular datacenter-centralized approaches. Finally, we analyze the use of incentives for Mobile Clouds, and propose a new auction system adapted to the high dynamism and heterogeneity of these systems. We compare our solution to other existing auctions systems in a Mobile Cloud use case, and show the suitability of our solution.","[8, 3, 723, 17, 1565]"
"One key factor for Cloud computing success is the resource flexibility it provides. Because of this characteristic, academia and industry have focused their efforts on making efficient use of cloud computational resources without having to sacrifice performance. One way to achieve this purpose is through the automatic adaptation of the computational capabilities of VMs according to their resource utilization and performance. In this paper we present the design and preliminary results of our resource adaptation solution, which proactively adapts VMs (memory-based vertical scaling) to maintain an expected performance. Our solution targets multi-tier applications deployed on Cloud environments, and its core resides in RLS-based resource and performance predictors. Our results show that our solution, when compared with VMs with larger and permanently allocated computational resources, is able to maintain expected performance while reducing resource waste.","[3, 709, 95, 936]"
